                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7945,                 6.8916,                 1.2469,                0.05764,                0.10113,                0.04621,                0.02804,                 1.4463,                 6.2998,                 1.0581,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.8007,                 6.7187,                 1.2474,                0.17158,                0.09666,                0.04684,                0.02662,                 1.4555,                 5.4641,                 1.0617,               0.093631,              0.0006307,              0.0006307
                      2,                 1.7532,                 4.5196,                 1.2495,                0.31594,                0.10234,                0.07633,                0.04043,                 1.4687,                 2.9798,                 1.0742,               0.089882,              0.0008822,              0.0008822
                      3,                 1.6978,                 3.1852,                 1.1709,                 0.5726,                 0.0807,                0.09261,                0.04964,                 1.5002,                 2.5736,                 1.0904,               0.086055,              0.0010545,              0.0010545
                      4,                 1.5604,                 2.3915,                 1.1035,                0.24779,                 0.0927,                0.10201,                0.05714,                 1.4503,                 2.0775,                 1.0631,               0.082148,              0.0011476,              0.0011476
                      5,                 1.5176,                 2.0566,                 1.1049,                0.11247,                0.11922,                0.11069,                0.06268,                 1.4143,                 1.8392,                  1.048,               0.078162,              0.0011615,              0.0011615
                      6,                 1.5116,                 2.0267,                 1.1044,                0.24048,                0.12699,                0.11635,                0.06644,                  1.396,                  1.675,                 1.0344,               0.074096,              0.0010962,              0.0010962
                      7,                 1.5334,                 1.9039,                 1.1081,                 0.5053,                0.12544,                0.11977,                0.06895,                 1.3901,                 1.5719,                 1.0306,               0.069952,              0.0009517,              0.0009517
                      8,                 1.5027,                 1.7685,                 1.0928,                0.41502,                0.12922,                0.12679,                0.07218,                 1.3772,                 1.4887,                 1.0234,               0.065728,               0.000728,               0.000728
                      9,                 1.4418,                 1.5812,                 1.0637,                0.40801,                 0.1258,                0.13011,                0.07473,                 1.3626,                 1.4269,                 1.0148,               0.061425,              0.0004251,              0.0004251
