                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9679,                 4.2679,                 4.2114,                 0.0017,                 0.0919,                0.00106,                0.00036,                  3.427,                 4.1101,                 4.1417,                 0.0946,                 0.0006,                 0.0006
                      1,                 3.8167,                 4.0619,                 4.1622,                0.00139,                0.06338,                0.00078,                0.00031,                 3.4108,                 4.0825,                 4.0949,               0.088236,              0.0012356,              0.0012356
                      2,                  3.663,                 3.8589,                 4.1001,                0.00144,                 0.0669,                0.00086,                0.00034,                 3.4034,                 3.8716,                 4.0441,               0.081802,               0.001802,               0.001802
                      3,                  3.941,                 3.7732,                  4.041,                0.00023,                0.01056,                0.00015,                  6e-05,                 3.4033,                 3.9432,                 4.0101,               0.075299,               0.002299,               0.002299
                      4,                 3.9107,                 3.7425,                 3.9892,                0.00023,                0.01056,                0.00013,                  5e-05,                  3.405,                 3.8052,                 3.9646,               0.068727,              0.0027268,              0.0027268
                      5,                 3.9781,                 3.6613,                 3.9202,                0.00023,                0.01056,                0.00015,                  6e-05,                 3.4041,                 3.9035,                 3.9302,               0.062085,              0.0030852,              0.0030852
                      6,                 4.0032,                 3.5739,                 3.8541,                0.00039,                0.01761,                0.00029,                  8e-05,                 3.4101,                 3.8473,                 3.8811,               0.055374,              0.0033744,              0.0033744
                      7,                 3.8788,                 3.5491,                 3.8285,                 0.0003,                0.01408,                0.00021,                  7e-05,                 3.4121,                  3.832,                 3.8567,               0.048594,              0.0035943,              0.0035943
                      8,                  3.927,                 3.5509,                 3.7422,                 0.0003,                0.01408,                0.00026,                  8e-05,                 3.4113,                 3.9975,                 3.8231,               0.041745,              0.0037448,              0.0037448
                      9,                 3.8613,                 3.4347,                 3.7205,                0.00149,                0.07042,                0.00093,                0.00027,                 3.4039,                 4.0027,                  3.793,               0.034826,              0.0038261,              0.0038261
                     10,                 3.4103,                 3.8197,                 3.7408,                0.00113,                0.05282,                0.00078,                0.00028,                 3.3978,                 4.0262,                 3.7715,               0.027838,               0.003838,               0.003838
                     11,                 3.4849,                 3.6605,                   3.72,                0.00207,                0.09507,                0.00135,                0.00038,                 3.3924,                 3.9052,                 3.7514,               0.020781,              0.0037807,              0.0037807
                     12,                 3.4156,                  3.576,                 3.6591,                0.00196,                0.09155,                0.00125,                0.00038,                 3.3889,                 3.9445,                 3.7478,               0.013654,               0.003654,               0.003654
                     13,                 3.3965,                 3.5375,                 3.6031,                0.00183,                0.08451,                0.00113,                 0.0003,                 3.3807,                 3.9993,                 3.7449,               0.006458,               0.003458,               0.003458
                     14,                 3.3304,                 3.5054,                 3.5909,                0.00157,                0.07394,                0.00105,                 0.0003,                 3.3785,                 3.8486,                 3.7461,                0.00307,                0.00307,                0.00307
                     15,                 3.1152,                   3.49,                 3.6043,                0.00219,                0.10211,                0.00146,                 0.0004,                 3.3728,                 3.7075,                 3.7472,                0.00307,                0.00307,                0.00307
                     16,                 3.2705,                  3.338,                  3.501,                0.00225,                0.10563,                0.00151,                0.00043,                 3.3661,                 3.7172,                  3.747,               0.002575,               0.002575,               0.002575
                     17,                 3.0859,                 3.3887,                 3.4672,                0.00264,                0.12324,                0.00179,                0.00048,                 3.3562,                 3.7406,                 3.7454,                0.00208,                0.00208,                0.00208
                     18,                  3.034,                 3.2299,                 3.4693,                 0.0033,                0.15493,                0.00246,                0.00069,                 3.3337,                 3.7163,                 3.7336,               0.001585,               0.001585,               0.001585
                     19,                 3.0678,                 3.4202,                 3.4373,                0.00374,                0.19049,                 0.0033,                0.00089,                 3.3016,                 3.6833,                 3.7177,                0.00109,                0.00109,                0.00109
